Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,Poblation,% Total Paro Registrado,% Hombre edad < 25,% Hombre edad 25-45,% Hombre edad >=45,% Mujer edad < 25,% Mujer edad 25-45,% Mujer edad >= 45,% Paro Agricultura,% Paro Industria,% Paro Construcción,% Paro Servicios,% Paro Sin empleo Anterior
Aug,Canarias,257406,9639,45466,59416,8765,61403,72717,5478,9638,23759,199643,18888,2175952,0.11829580799576461,0.00442978521585035,0.020894762384464364,0.027305749391530694,0.004028121943866409,0.028218912917196703,0.03341847614285609,0.0025175187687963706,0.00442932564688927,0.010918898946300286,0.0917497260968992,0.00868033853687949
Aug,Cantabria,38944,1541,6949,8981,1234,9404,10835,669,3223,2989,28847,3216,582905,0.06681020063303626,0.0026436554841698045,0.011921325087278374,0.01540731337010319,0.002116983041833575,0.016132989080553436,0.01858793456909788,0.001147699882485139,0.005529202871823024,0.005127765244765442,0.04948833858004306,0.005517194053919592
Aug,Castilla-La Mancha,185775,8362,26611,33431,8328,50149,58894,14911,17449,13582,124600,15233,2045221,0.09083370452386319,0.004088555711094302,0.0130113078244356,0.01634591078421354,0.004071931590766964,0.024520088538109084,0.0287959100752437,0.007290654652969043,0.008531596340933327,0.006640847126056304,0.06092251155254127,0.007448094851363251
Aug,Castilla y León,155750,7054,25261,32816,6501,37564,46554,8321,14060,10280,107600,15489,2394918,0.06503354185821811,0.0029454035587022187,0.010547751530532569,0.013702348055340517,0.002714497949407871,0.01568487939879361,0.019438661365441322,0.003474440461009521,0.00587076467753802,0.00429242253805767,0.04492846936721842,0.00646744481439448
Aug,Cataluña,480642,19626,87083,104661,17368,116173,135731,9168,50089,36935,354652,29798,7780479,0.06177537398404391,0.0025224668044216813,0.011192498559535987,0.013451742495545583,0.002232253309854059,0.014931342916033832,0.01744506989865277,0.0011783336218759797,0.006437778445260247,0.004747137033593947,0.04558228355863437,0.0038298413246793672
Aug,Ceuta,12893,684,2259,2174,817,3923,3036,85,407,509,9718,2174,84202,0.15311987838768676,0.008123322486401748,0.02682834136956367,0.0258188641599962,0.009702857414313199,0.046590342272155055,0.03605615068525688,0.0010094772095674688,0.00483361440345835,0.006044987054939313,0.11541293555972543,0.0258188641599962
Aug,Comunidad Valenciana,440708,22105,70401,90777,19101,107868,130456,16193,55977,34660,299332,34546,5057353,0.08714202864621078,0.00437086357230749,0.013920523246053815,0.01794950836929912,0.0037768769551977093,0.021328944212515914,0.025795312290836727,0.0032018726001526885,0.01106843837082363,0.006853387532964379,0.0591874840455076,0.006830846096762476
Aug,Extremadura,105459,5151,15817,19921,5077,28006,31487,11773,5898,8351,72055,7382,1063987,0.09911681251744617,0.004841224563833957,0.014865783134568374,0.01872297311903247,0.004771674841891865,0.02632175017175962,0.029593406686359888,0.011064984816543812,0.0055433008110061495,0.007848780107275747,0.06772169208834318,0.00693805469427728
Aug,Galicia,176951,4470,29413,41242,4298,44350,53178,6041,19774,13724,122005,15407,2701819,0.06549328433918038,0.001654440952558258,0.010886369516240725,0.015264531043715364,0.0015907801373815195,0.016414867169118285,0.01968229552016623,0.0022359010725736994,0.007318773019214093,0.0050795408574741685,0.045156614858360235,0.005702454531558184
Aug,Comunidad de Madrid,429798,17433,74850,87701,16872,109994,122948,3062,24470,31370,343263,27633,6779888,0.06339308259959457,0.002571281413498276,0.011040005380619857,0.012935464420651197,0.0024885366837918265,0.01622357183481497,0.01813422286621844,0.0004516298794316366,0.0036092041638445945,0.004626920090715363,0.050629597421078344,0.00407573104452463
Aug,Melilla,9652,600,1382,1658,698,2963,2351,73,157,615,6974,1833,87076,0.11084569801093298,0.006890532408470761,0.015871192980844318,0.01904083788874087,0.008015986035187652,0.034027745877164776,0.0269994028205246,0.0008383481096972759,0.0018030226468831825,0.00706279571868253,0.08009095502779182,0.021050576507878175
Aug,Región de Murcia,119019,6076,20005,22875,5830,31935,32298,9984,12021,9614,76529,10871,1511251,0.07875528287491622,0.004020510160125618,0.013237377510420175,0.01513646641094034,0.0038577311115096037,0.021131499664847203,0.02137169801707327,0.006606447241391404,0.00795433716834596,0.006361616965017723,0.05063950329892255,0.007193378201238576
Aug,Navarra,38970,2231,6841,7251,2107,10331,10209,2130,5186,1780,26068,3806,661197,0.0589385614272297,0.0033741834884308307,0.010346386931580149,0.010966474439539199,0.003186644827487118,0.015624692792012063,0.015440178948180346,0.0032214302242750646,0.007843350771403985,0.0026920872296758757,0.0394254662377476,0.0057562269641271814
Aug,País Vasco,146450,7287,28405,30707,6151,36498,37402,2879,17771,9608,98299,17893,2220504,0.06595349524252152,0.00328168740069822,0.012792140883330992,0.013828842460990838,0.0027700918350068273,0.01643680894067293,0.016843923721821714,0.0012965524943886614,0.008003138026321951,0.0043269455943335386,0.0442687786196287,0.008058080507848668
