Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior
 Mar,Comunidad Valenciana,401827,16861,64475,85749,15018,96738,122986,13297,52701,33279,279813,22737
 Mar,Extremadura,112688,5422,18523,22520,5081,28913,32229,11755,6808,11014,77235,5876
 Mar,Galicia,174481,4314,29743,41450,4166,42764,52044,5950,19045,14443,121606,13437
 Mar,Comunidad de Madrid,363760,14679,61377,78979,13487,87027,108211,2858,21664,28873,287492,22873
 Mar,Melilla,9200,605,1319,1648,725,2638,2265,66,149,613,6682,1690
 Mar,Región de Murcia,107312,5247,17272,20646,5216,28536,30395,6757,11468,9297,70658,9132
 Mar,Navarra,37365,1807,6883,7301,1773,9677,9924,2112,4844,1808,25577,3024
 Mar,País Vasco,128213,5010,24134,28034,4579,31448,35008,2694,15362,8793,86809,14555
 Mar,La Rioja,17973,662,3012,4047,578,4181,5493,1795,3308,1096,10880,894
May,Andalucía,969087,43203,182228,188099,42803,264164,248590,74549,59415,90076,655723,89324
May,Aragón,78529,4200,13644,15317,3906,19916,21546,3167,9004,5134,55449,5775
May,Principado de Asturias,83860,3012,16142,18890,2703,20176,22937,1446,7176,7404,60776,7058
May,Islas Baleares,74689,5149,15786,13515,4748,19797,15694,864,3047,8167,59310,3301
May,Canarias,261074,10077,49066,60440,9136,61430,70925,5307,9981,25466,203290,17030
May,Cantabria,43756,1800,8339,9535,1610,10948,11524,684,3416,3485,33133,3038
May,Castilla-La Mancha,193944,9005,29712,35776,8738,51503,59210,14383,19343,15372,131142,13704
May,Castilla y León,170292,8054,29559,36588,7076,40247,48768,8367,15925,12354,119578,14068
May,Cataluña,483149,20484,91794,106365,18231,113048,133227,8431,51016,38024,358846,26832
May,Ceuta,11997,653,2193,2127,747,3461,2816,75,474,563,8888,1997
May,Comunidad Valenciana,440517,20054,74293,91153,17967,107739,129311,14247,57564,34318,307893,26495
May,Extremadura,111389,5297,17661,21220,5095,29420,32696,10144,6620,9329,79012,6284
May,Galicia,191082,4952,34883,44096,4632,47789,54730,6292,21115,15598,134229,13848
May,Comunidad de Madrid,419359,17196,76942,87848,16606,104315,116452,2856,24290,33034,335370,23809
May,Melilla,9325,584,1365,1662,721,2703,2290,64,154,642,6779,1686
May,Región de Murcia,114168,5564,19232,21727,5532,30601,31512,7127,12451,9412,75886,9292
May,Navarra,41137,2254,7780,7682,2134,10761,10526,2010,5393,1892,28528,3314
May,País Vasco,141715,5969,27957,30197,5332,35100,37160,2726,17321,9396,96655,15617
May,La Rioja,18707,721,3076,3981,629,4538,5762,1406,3544,1058,11780,919
Nov,Andalucía,966504,48132,169336,181952,50311,259737,257036,77457,53199,83347,641607,110894
Nov,Aragón,80156,4797,12692,15634,4624,20013,22396,5136,8900,4808,53766,7546
Nov,Principado de Asturias,81514,3490,14683,18301,2974,19018,23048,1606,6573,6243,58825,8267
Nov,Islas Baleares,85330,6864,17509,15273,6175,22080,17429,1158,3369,9344,66117,5342
Nov,Canarias,268319,11836,48329,61557,10590,61760,74247,5713,9808,24700,205740,22358
Nov,Cantabria,42053,1981,7362,9033,1701,10281,11695,713,3276,2851,31723,3490
Nov,Castilla-La Mancha,182652,8455,25351,33101,8924,47508,59313,14622,17265,13041,121674,16050
Nov,Castilla y León,163687,8318,26103,34542,7940,38366,48418,10600,14116,10238,112234,16499
Nov,Cataluña,484748,20650,87699,108897,17377,112709,137416,10967,49174,36644,356837,31126
Nov,Ceuta,13160,798,2306,2181,964,3901,3010,81,499,495,9768,2317
Nov,Comunidad Valenciana,433671,23159,68361,89307,20364,102852,129628,14627,53052,32941,297816,35235
Nov,Extremadura,110825,6042,16436,20615,6250,28421,33061,13297,6362,8543,74419,8204
Nov,Galicia,187472,5304,32071,42989,5244,46123,55741,7054,19687,13733,130498,16500
Nov,Comunidad de Madrid,429796,19848,72886,89178,19003,105021,123860,3383,24231,31679,340228,30275
Nov,Melilla,9855,734,1405,1668,792,2885,2371,73,178,566,7002,2036
Nov,Región de Murcia,120608,6780,19357,21990,7109,32149,33223,9775,11829,9102,78046,11856
Nov,Navarra,39527,2392,6798,7414,2293,10255,10375,2259,5213,1788,26157,4110
Nov,País Vasco,132436,6281,24238,28862,5633,31724,35698,2814,15300,8594,89043,16685
Nov,La Rioja,18999,814,2969,3998,776,4511,5931,2114,3374,1002,11317,1192
Oct,Andalucía,965407,48294,170969,183995,48779,258212,255158,81580,53640,83856,637594,108737
Oct,Aragón,77866,4664,12387,15334,4382,19327,21772,5117,8543,4722,52058,7426
Oct,Principado de Asturias,79704,3402,14264,18033,2804,18468,22733,1550,6532,6192,57234,8196
Oct,Islas Baleares,81713,6368,16699,14847,5710,21167,16922,1107,3222,9171,63196,5017
Oct,Canarias,262487,11194,47182,60637,10029,60440,73005,5606,9690,24341,201661,21189
Oct,Cantabria,40711,1830,7082,8951,1538,9913,11397,682,3165,2861,30608,3395
Oct,Castilla-La Mancha,184314,8509,25982,33677,8926,48073,59147,16011,17264,12983,122171,15885
Oct,Castilla y León,158584,7855,25024,33411,7509,37277,47508,9971,13854,9902,108607,16250
Oct,Cataluña,484559,22539,87319,107421,19240,111913,136127,11180,49252,36398,355406,32323
Oct,Ceuta,13139,767,2279,2181,920,3947,3045,87,495,484,9792,2281
Oct,Comunidad Valenciana,433531,23005,68016,89313,20151,103323,129723,14801,53853,32876,296908,35093
Oct,Extremadura,109088,5883,16097,20538,5969,28085,32516,13337,6290,8277,73149,8035
Oct,Galicia,181307,4899,30342,41800,5009,44683,54574,6672,19048,13457,125889,16241
Oct,Comunidad de Madrid,430408,19619,73387,88911,18749,106061,123681,3280,24527,31204,341661,29736
Oct,Melilla,9638,660,1382,1661,731,2841,2363,74,166,578,6872,1948
Oct,Región de Murcia,117827,6528,19029,21967,6530,31141,32632,9600,11623,9051,76012,11541
Oct,Navarra,38908,2325,6730,7333,2190,10027,10303,2303,5101,1760,25709,4035
